LiCl,,,,,,,NaI,,,,,,,
Br Pure,r+50,Br+100,Br+150,Br+200,Br+250 ,,Br Pure,Br+50,Br+100,Br+150,Br+200,Br+250,,
0.034,0.003,-0.004,-0.004,-0.007,-0.007,,0.016,-0.001,-0.006,-0.006,-0.007,-0.006,510,
0.029,0.002,-0.004,-0.004,-0.007,-0.007,,0.013,-0.002,-0.007,-0.007,-0.007,-0.006,510.5,
0.025,0.001,-0.005,-0.004,-0.007,-0.007,,0.011,-0.002,-0.007,-0.007,-0.007,-0.006,511,
0.022,0,-0.005,-0.004,-0.007,-0.007,,0.009,-0.003,-0.007,-0.006,-0.007,-0.006,511.5,
0.019,-0.001,-0.005,-0.004,-0.007,-0.007,,0.007,-0.003,-0.007,-0.007,-0.007,-0.006,512,
0.016,-0.001,-0.005,-0.004,-0.007,-0.007,,0.006,-0.003,-0.007,-0.007,-0.007,-0.006,512.5,
0.013,-0.002,-0.005,-0.004,-0.007,-0.007,,0.005,-0.004,-0.007,-0.007,-0.007,-0.006,513,
0.011,-0.003,-0.005,-0.004,-0.007,-0.007,,0.003,-0.004,-0.007,-0.006,-0.007,-0.006,513.5,
0.009,-0.003,-0.005,-0.005,-0.007,-0.007,,0.002,-0.004,-0.007,-0.007,-0.007,-0.006,514,
0.007,-0.004,-0.005,-0.005,-0.007,-0.007,,0.001,-0.005,-0.007,-0.007,-0.007,-0.006,514.5,
0.006,-0.004,-0.005,-0.005,-0.007,-0.007,,0,-0.005,-0.007,-0.007,-0.007,-0.006,515,
0.005,-0.004,-0.006,-0.005,-0.007,-0.007,,0,-0.005,-0.007,-0.007,-0.007,-0.006,515.5,
0.003,-0.004,-0.006,-0.005,-0.007,-0.007,,-0.001,-0.005,-0.007,-0.007,-0.007,-0.006,516,
0.002,-0.005,-0.006,-0.005,-0.007,-0.007,,-0.002,-0.005,-0.007,-0.007,-0.007,-0.006,516.5,
